Field,Type,Graph,Nodes,Edges,Finished,Time,Algorithm,Separators generated,Results,First Width,Min Width,Max Width,Best Width Time,Best Width Count,Good width Count,First Fill,Min Fill,Max Fill,Best Fill Time,Best Fill Count,Good Fill Count,First ExpBags,Min ExpBags,Max ExpBags,Best ExpBags Time
BN, CSP, 29.wcsp, 82, 380, No, 95.142, , 35,2369, 16, 14, 18, 0.0, 1024, 1921, 55, 38, 81, 4.0, 1024, 1921, 344868, 134948, 1578788, 4.0
BN, CSP, 29.wcsp, 82, 380, No, 95.363, , 35,2369, 16, 14, 18, 0.0, 1024, 1921, 55, 38, 81, 4.0, 1024, 1921, 344868, 134948, 1578788, 4.0
BN, CSP, 29.wcsp, 82, 380, No, 93.966, , 35,2369, 16, 14, 18, 0.0, 1024, 1921, 55, 38, 81, 4.0, 1024, 1921, 344868, 134948, 1578788, 4.0
BN, CSP, 29.wcsp, 82, 380, No, 95.205, , 35,2369, 16, 14, 18, 0.0, 1024, 1921, 55, 38, 81, 5.0, 1024, 1921, 344868, 134948, 1578788, 5.0
BN, CSP, 29.wcsp, 82, 380, No, 98.976, , 35,2369, 16, 14, 18, 0.0, 1024, 1921, 55, 38, 81, 5.0, 1024, 1921, 344868, 134948, 1578788, 5.0
BN, CSP, 29.wcsp, 82, 380, No, 101.376, , 35,2369, 16, 14, 18, 0.0, 1024, 1921, 55, 38, 81, 5.0, 1024, 1921, 344868, 134948, 1578788, 5.0
BN, CSP, 29.wcsp, 82, 380, No, 105.051, , 35,2369, 16, 14, 18, 0.0, 1024, 1921, 55, 38, 81, 5.0, 1024, 1921, 344868, 134948, 1578788, 5.0
BN, CSP, 29.wcsp, 82, 380, No, 105.628, , 35,2369, 16, 14, 18, 0.0, 1024, 1921, 55, 38, 81, 6.0, 1024, 1921, 344868, 134948, 1578788, 6.0
BN, CSP, 29.wcsp, 82, 380, No, 107.446, , 35,2369, 16, 14, 18, 0.0, 1024, 1921, 55, 38, 81, 5.0, 1024, 1921, 344868, 134948, 1578788, 5.0
BN, CSP, 29.wcsp, 82, 380, No, 105.822, , 35,2369, 16, 14, 18, 0.0, 1024, 1921, 55, 38, 81, 4.0, 1024, 1921, 344868, 134948, 1578788, 4.0
BN, CSP, 29.wcsp, 82, 380, No, 106.34, , 35,2369, 16, 14, 18, 0.0, 1024, 1921, 55, 38, 81, 5.0, 1024, 1921, 344868, 134948, 1578788, 5.0
BN, CSP, 29.wcsp, 82, 380, No, 101.801, , 35,2369, 16, 14, 18, 0.0, 1024, 1921, 55, 38, 81, 5.0, 1024, 1921, 344868, 134948, 1578788, 5.0
BN, CSP, 29.wcsp, 82, 380, No, 102.829, , 35,2369, 16, 14, 18, 0.0, 1024, 1921, 55, 38, 81, 4.0, 1024, 1921, 344868, 134948, 1578788, 4.0
BN,CSP,29.wcsp,82,380,No,0,mcs,0,2368,16,14,18,ResultInformation{number=2, time=-4913.125, fill=40, width=14, expBagSize=152356},1024,1920,55,38,81,ResultInformation{number=291, time=-4919.154, fill=38, width=14, expBagSize=134948},128,1920,344868,134948,1578788,-4919.154,
BN,CSP,29.wcsp,82,380,No,60,mcs,0,2359,16,14,18,-5152.246,1018,1911,55,38,81,ResultInformation{number=291, time=-5158.958, fill=38, width=14, expBagSize=134948},126,1911,344868,134948,1578788,-5158.958,
BN,CSP,29.wcsp,82,380,No,60,mcs,0,2368,16,14,18,-5283.984,1024,1920,55,38,81,-5289.975,128,1920,344868,134948,1578788,-5289.975,
BN,CSP,29.wcsp,82,380,No,60,mcs,0,2368,16,14,18,5429.754,1024,1920,55,38,81,5436.176,128,1920,344868,134948,1578788,5436.176,
BN,CSP,29.wcsp,82,380,No,60,mcs,0,2368,16,14,18,0.042,1024,1920,55,38,81,6.832,128,1920,344868,134948,1578788,6.832,
BN,CSP,29.wcsp,82,380,No,60,mcs,0,2368,16,14,18,0.036,1024,1920,55,38,81,5.552,128,1920,344868,134948,1578788,5.552,
